0 ('/anaconda.py', 'plugin_loaded', 'package_folder')
391 ('/anaconda_lib/_typing.py', 'FrozenSet_class_initializer', '__slots__')
392 ('/anaconda_lib/_typing.py', 'Generator_class_initializer', '__slots__')
393 ('/anaconda_lib/_typing.py', 'NamedTuple', 'typename')
394 ('/anaconda_lib/_typing.py', 'NamedTuple', 'fields')
395 ('/anaconda_lib/_typing.py', 'NamedTuple', 'n')
396 ('/anaconda_lib/_typing.py', 'NamedTuple', 't')
397 ('/anaconda_lib/_typing.py', 'NamedTuple', 'cls')
398 ('/anaconda_lib/_typing.py', 'mode', 'self')
399 ('/anaconda_lib/_typing.py', 'name', 'self')
400 ('/anaconda_lib/_typing.py', 'close', 'self')
401 ('/anaconda_lib/_typing.py', 'closed', 'self')
402 ('/anaconda_lib/_typing.py', 'fileno', 'self')
403 ('/anaconda_lib/_typing.py', 'flush', 'self')
404 ('/anaconda_lib/_typing.py', 'isatty', 'self')
405 ('/anaconda_lib/_typing.py', 'read', 'self')
406 ('/anaconda_lib/_typing.py', 'read', 'n')
407 ('/anaconda_lib/_typing.py', 'readable', 'self')
408 ('/anaconda_lib/_typing.py', 'readline', 'self')
409 ('/anaconda_lib/_typing.py', 'readline', 'limit')
410 ('/anaconda_lib/_typing.py', 'readlines', 'self')
411 ('/anaconda_lib/_typing.py', 'readlines', 'hint')
412 ('/anaconda_lib/_typing.py', 'seek', 'self')
413 ('/anaconda_lib/_typing.py', 'seek', 'offset')
414 ('/anaconda_lib/_typing.py', 'seek', 'whence')
415 ('/anaconda_lib/_typing.py', 'seekable', 'self')
416 ('/anaconda_lib/_typing.py', 'tell', 'self')
417 ('/anaconda_lib/_typing.py', 'truncate', 'self')
418 ('/anaconda_lib/_typing.py', 'truncate', 'size')
419 ('/anaconda_lib/_typing.py', 'writable', 'self')
420 ('/anaconda_lib/_typing.py', 'write', 'self')
421 ('/anaconda_lib/_typing.py', 'write', 's')
422 ('/anaconda_lib/_typing.py', 'writelines', 'self')
423 ('/anaconda_lib/_typing.py', 'writelines', 'lines')
424 ('/anaconda_lib/_typing.py', '__enter__', 'self')
