0 ('/setup.py', 'find_package_info', 'file_paths')
241 ('/hacking/test-module.py', 'runtest', 'modname')
242 ('/hacking/test-module.py', 'runtest', 'module_style')
243 ('/hacking/test-module.py', 'runtest', 'interpreters')
244 ('/hacking/test-module.py', 'runtest', 'invoke')
245 ('/hacking/test-module.py', 'runtest', 'cmd')
246 ('/hacking/test-module.py', 'runtest', 'out')
247 ('/hacking/test-module.py', 'runtest', 'err')
248 ('/hacking/test-module.py', 'runtest', 'results')
249 ('/hacking/test-module.py', 'rundebug', 'debugger')
250 ('/hacking/test-module.py', 'rundebug', 'modfile')
251 ('/hacking/test-module.py', 'rundebug', 'argspath')
252 ('/hacking/test-module.py', 'rundebug', 'modname')
253 ('/hacking/test-module.py', 'rundebug', 'module_style')
254 ('/hacking/test-module.py', 'rundebug', 'interpreters')
255 ('/hacking/test-module.py', 'main', 'options')
256 ('/hacking/test-module.py', 'main', 'args')
257 ('/hacking/test-module.py', 'main', 'interpreters')
258 ('/hacking/test-module.py', 'main', 'modfile')
259 ('/hacking/test-module.py', 'main', 'modname')
260 ('/hacking/test-module.py', 'main', 'module_style')
261 ('/hacking/test-module.py', 'main', 'argspath')
262 ('/hacking/test-module.py', 'module_initializer', '__metaclass__')
263 ('/hacking/fix_test_syntax.py', 'module_initializer', '__metaclass__')
264 ('/hacking/fix_test_syntax.py', 'module_initializer', 'TESTS')
265 ('/hacking/fix_test_syntax.py', 'module_initializer', 'TEST_MAP')
266 ('/hacking/fix_test_syntax.py', 'module_initializer', 'FILTER_RE')
267 ('/hacking/fix_test_syntax.py', 'module_initializer', 'NOT_RE')
268 ('/hacking/fix_test_syntax.py', 'module_initializer', 'ASSERT_SPACE_RE')
269 ('/hacking/fix_test_syntax.py', 'module_initializer', 'parser')
270 ('/hacking/fix_test_syntax.py', 'module_initializer', 'args')
271 ('/hacking/fix_test_syntax.py', 'module_initializer', 'path')
272 ('/hacking/fix_test_syntax.py', 'module_initializer', 'text')
273 ('/hacking/fix_test_syntax.py', 'module_initializer', 'filter_name')
274 ('/hacking/fix_test_syntax.py', 'module_initializer', 'is_not')
275 ('/hacking/fix_test_syntax.py', 'module_initializer', 'test_name')
276 ('/hacking/fix_test_syntax.py', 'module_initializer', 'before')
277 ('/hacking/report.py', 'main', 'args')
278 ('/hacking/report.py', 'parse_args', 'argcomplete')
279 ('/hacking/report.py', 'parse_args', 'parser')
280 ('/hacking/report.py', 'parse_args', 'subparsers')
281 ('/hacking/report.py', 'parse_args', 'populate')
282 ('/hacking/report.py', 'parse_args', 'query')
283 ('/hacking/report.py', 'parse_args', 'args')
284 ('/hacking/report.py', 'populate_modules', 'module_dir')
285 ('/hacking/report.py', 'populate_modules', 'modules_rows')
286 ('/hacking/report.py', 'populate_modules', 'module')
287 ('/hacking/report.py', 'populate_modules', 'extension')
288 ('/hacking/report.py', 'populate_modules', 'namespace')
289 ('/hacking/report.py', 'populate_modules', 'path')
290 ('/hacking/report.py', 'populate_modules', 'result')
291 ('/hacking/report.py', 'populate_modules', 'doc')
292 ('/hacking/report.py', 'populate_modules', 'file_name')
293 ('/hacking/report.py', 'populate_modules', 'root')
294 ('/hacking/report.py', 'populate_modules', 'dir_names')
295 ('/hacking/report.py', 'populate_modules', 'file_names')
296 ('/hacking/report.py', 'populate_coverage', 'response')
297 ('/hacking/report.py', 'populate_coverage', 'data')
298 ('/hacking/report.py', 'populate_coverage', 'files')
299 ('/hacking/report.py', 'populate_coverage', 'coverage_rows')
300 ('/hacking/report.py', 'populate_coverage', 'report')
301 ('/hacking/report.py', 'populate_coverage', 'path')
302 ('/hacking/report.py', 'populate_integration_targets', 'targets')
303 ('/hacking/report.py', 'populate_integration_targets', 'integration_targets_rows')
304 ('/hacking/report.py', 'populate_integration_targets', 'target')
305 ('/hacking/report.py', 'populate_integration_targets', 'integration_target_aliases_rows')
306 ('/hacking/report.py', 'populate_integration_targets', 'alias')
307 ('/hacking/report.py', 'populate_integration_targets', 'integration_target_modules_rows')
308 ('/hacking/report.py', 'populate_integration_targets', 'module')
309 ('/hacking/report.py', 'create_table', 'cursor')
310 ('/hacking/report.py', 'create_table', 'name')
311 ('/hacking/report.py', 'create_table', 'columns')
312 ('/hacking/report.py', 'create_table', 'schema')
313 ('/hacking/report.py', 'create_table', 'column')
314 ('/hacking/report.py', 'populate_table', 'cursor')
315 ('/hacking/report.py', 'populate_table', 'rows')
316 ('/hacking/report.py', 'populate_table', 'name')
317 ('/hacking/report.py', 'populate_table', 'columns')
318 ('/hacking/report.py', 'populate_table', 'values')
319 ('/hacking/report.py', 'populate_table', 'column')
320 ('/hacking/report.py', 'populate_table', 'row')
321 ('/hacking/report.py', 'populate_data', 'data')
322 ('/hacking/report.py', 'populate_data', 'connection')
323 ('/hacking/report.py', 'populate_data', 'cursor')
324 ('/hacking/report.py', 'populate_data', 'table')
325 ('/hacking/report.py', 'module_initializer', '__metaclass__')
326 ('/hacking/report.py', 'module_initializer', 'DATABASE_PATH')
327 ('/hacking/report.py', 'module_initializer', 'BASE_PATH')
328 ('/hacking/report.py', 'module_initializer', 'ANSIBLE_PATH')
329 ('/hacking/report.py', 'module_initializer', 'ANSIBLE_TEST_PATH')
330 ('/hacking/build_library/build_ansible/change_detection.py', 'update_file_if_different', 'filename')
331 ('/hacking/build_library/build_ansible/change_detection.py', 'update_file_if_different', 'b_data')
332 ('/hacking/build_library/build_ansible/change_detection.py', 'update_file_if_different', 'b_data_old')
333 ('/hacking/build_library/build_ansible/change_detection.py', 'module_initializer', '__metaclass__')
334 ('/hacking/build_library/build_ansible/errors.py', 'module_initializer', '__metaclass__')
335 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'session')
336 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'version')
337 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'tar_url')
338 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'tar_task')
339 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'tar_response')
340 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'tar_hash')
341 ('/hacking/build_library/build_ansible/announce.py', 'calculate_hash_from_tarball', 'chunk')
342 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'session')
343 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'version')
344 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'filename')
345 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'hash_url')
346 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'hash_task')
347 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'hash_response')
348 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'hash_content')
349 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'precreated_hash')
350 ('/hacking/build_library/build_ansible/announce.py', 'parse_hash_from_file', 'precreated_filename')
351 ('/hacking/build_library/build_ansible/announce.py', 'get_hash', 'session')
352 ('/hacking/build_library/build_ansible/announce.py', 'get_hash', 'version')
353 ('/hacking/build_library/build_ansible/announce.py', 'get_hash', 'calculated_hash')
354 ('/hacking/build_library/build_ansible/announce.py', 'get_hash', 'precreated_hash')
355 ('/hacking/build_library/build_ansible/announce.py', 'get_hashes', 'versions')
356 ('/hacking/build_library/build_ansible/announce.py', 'get_hashes', 'hashes')
357 ('/hacking/build_library/build_ansible/announce.py', 'get_hashes', 'requestors')
358 ('/hacking/build_library/build_ansible/announce.py', 'get_hashes', 'version')
359 ('/hacking/build_library/build_ansible/announce.py', 'get_hashes', 'request')
360 ('/hacking/build_library/build_ansible/announce.py', 'next_release_date', 'weeks')
361 ('/hacking/build_library/build_ansible/announce.py', 'next_release_date', 'days_in_the_future')
362 ('/hacking/build_library/build_ansible/announce.py', 'next_release_date', 'today')
363 ('/hacking/build_library/build_ansible/announce.py', 'next_release_date', 'numeric_today')
364 ('/hacking/build_library/build_ansible/announce.py', 'next_release_date', 'next_release')
365 ('/hacking/build_library/build_ansible/announce.py', 'is_ansible_base', 'version')
366 ('/hacking/build_library/build_ansible/announce.py', 'is_ansible_base', 'ver_split')
367 ('/hacking/build_library/build_ansible/announce.py', 'is_ansible_base', 'component')
368 ('/hacking/build_library/build_ansible/announce.py', 'release_variants', 'versions')
369 ('/hacking/build_library/build_ansible/announce.py', 'release_variants', 'v')
370 ('/hacking/build_library/build_ansible/announce.py', 'pretty_version', 'version')
371 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'versions')
372 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'name')
373 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'hashes')
374 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'version_template')
375 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'version_str')
376 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'next_release')
377 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'template')
378 ('/hacking/build_library/build_ansible/announce.py', 'create_long_message', 'message')
