304 ('/zfs/util.py', 'fletcher2', 'first')
305 ('/zfs/util.py', 'fletcher2', 'second')
306 ('/zfs/util.py', 'fletcher4', 'data')
307 ('/zfs/util.py', 'fletcher4', 'mod')
308 ('/zfs/util.py', 'fletcher4', 'a')
309 ('/zfs/util.py', 'fletcher4', 'b')
310 ('/zfs/util.py', 'fletcher4', 'c')
311 ('/zfs/util.py', 'fletcher4', 'd')
312 ('/zfs/util.py', 'fletcher4', 'w')
313 ('/zfs/util.py', 'module_initializer', 'logger')
314 ('/zfs/util.py', 'module_initializer', 'lz4')
315 ('/zfs/util.py', 'module_initializer', 'counter')
316 ('/zfs/util.py', 'module_initializer', 'ChecksumType')
317 ('/zfs/vdevs.py', '__init__', 'self')
318 ('/zfs/vdevs.py', '__init__', 'label_index')
319 ('/zfs/vdevs.py', '__init__', 'txg')
320 ('/zfs/vdevs.py', '__init__', 'l')
321 ('/zfs/vdevs.py', '__init__', '_')
322 ('/zfs/vdevs.py', '__init__', 'ubers')
323 ('/zfs/vdevs.py', '__init__', 'u')
324 ('/zfs/vdevs.py', 'parse_uberblocks', 'self')
325 ('/zfs/vdevs.py', 'parse_uberblocks', 'raw_uberblocks')
326 ('/zfs/vdevs.py', 'parse_uberblocks', 'uber_list')
327 ('/zfs/vdevs.py', 'select_uberblock', 'self')
328 ('/zfs/vdevs.py', 'select_uberblock', 'txg')
329 ('/zfs/vdevs.py', 'select_uberblock', 'txgs_available')
330 ('/zfs/vdevs.py', 'select_uberblock', 'x')
331 ('/zfs/vdevs.py', 'select_uberblock', 'candidates')
332 ('/zfs/vdevs.py', 'select_uberblock', 'active_uberblock')
333 ('/zfs/vdevs.py', '_best_label', 'self')
334 ('/zfs/vdevs.py', '_best_label', 'label_index')
335 ('/zfs/vdevs.py', '_best_label', 'retprops')
336 ('/zfs/vdevs.py', '_best_label', 'props')
337 ('/zfs/vdevs.py', '_best_label', 'label')
338 ('/zfs/vdevs.py', '_best_label', 'best_label')
339 ('/zfs/vdevs.py', 'read_label', 'self')
340 ('/zfs/vdevs.py', 'read_label', 'label')
341 ('/zfs/vdevs.py', 'read_label', 'data')
342 ('/zfs/vdevs.py', 'read_label', 'nvdata')
343 ('/zfs/vdevs.py', 'read_label', 'properties')
